"model","term","estimate","std_error","z_value","p_value"
"fixed_verb_full","Verbreimburse",-4.44011469057815,9224.4045936923,-0.0004813443128475,0.999615942819179
"fixed_verb_full","Verbrepay",-36.290867020551,9224.40458537422,-0.00393422325361705,0.996860952104946
"fixed_verb_full","Verbresell",-31.3640325880365,7177.7276423671,-0.00436963258440008,0.996513548719399
"fixed_verb_full","Verbrun",-35.5229304604264,9224.40459300953,-0.00385097272157235,0.996927375915884
"fixed_verb_full","Verbsell",-20.3795405492664,6522.63948017776,-0.00312443154511292,0.9975070683649
"fixed_verb_full","Verbsell_back",-39.8333821462764,9224.40459114857,-0.00431826051781154,0.996554537311455
"fixed_verb_full","Verbsell_off",-35.1248727833928,9224.4045897254,-0.00380782005404627,0.996961806510607
"fixed_verb_full","Verbsend",-19.8085309289156,6522.63948155009,-0.00303688882161063,0.997576917020921
"fixed_verb_full","Verbserve",-17.0385007641095,6522.63959656783,-0.0026122094455556,0.997915760784157
"fixed_verb_full","Verbshow",-16.4743084414843,6522.63951418746,-0.00252571193082967,0.997984775587949
"fixed_verb_full","Verbslip",-38.2192951697767,9224.40459215705,-0.00414328044568559,0.996694149959777
"fixed_verb_full","Verbsubmit",-31.4609595916244,9224.40459422181,-0.00341062225428963,0.997278722436379
"fixed_verb_full","Verbsupply",-30.310322008173,9224.40461880078,-0.00328588383323904,0.997378248738723
"fixed_verb_full","Verbswap",-3.74237446271689,9224.40459989343,-0.000405703633463793,0.999676295343478
"fixed_verb_full","Verbtake",-21.2441383119751,6522.63957914454,-0.00325698485317218,0.997401306665354
"fixed_verb_full","Verbteach",-13.2149425784525,6522.63957307403,-0.00202601146827196,0.998383477835352
"fixed_verb_full","Verbtell",-12.133867127795,6522.63952638942,-0.00186026946280008,0.998515720572782
"fixed_verb_full","Verbtender",-35.1531432815136,9224.40459492462,-0.00381088480234869,0.996959361212996
"fixed_verb_full","Verbtrade",-35.3602851024821,9224.40460946139,-0.00383334064360244,0.996941444174832
"fixed_verb_full","Verbvote",-6.27394379639267,9224.40460814418,-0.000680146205951702,0.999457321885023
"fixed_verb_full","Verbwill",0.256729502482991,9224.40461093405,2.78315526379534e-05,0.99997779363385
"fixed_verb_full","Verbwish",-3.00719628681034,6911.62090233797,-0.000435092770466202,0.999652846206881
"fixed_verb_full","Verbwrite",-21.4042298005113,6522.6395190685,-0.00328152885621495,0.99738172348892
"fixed_verb_full","Modalitywritten",-0.0188259975412889,0.239808078790805,-0.0785044341967796,0.937426803131831
"fixed_verb_full","SemanticClassc",-0.639447253717929,0.43826906652292,-1.45902894491525,0.144557141219538
"fixed_verb_full","SemanticClassf",-0.68756951612862,0.754680958629531,-0.911073094221455,0.362256861890648
"fixed_verb_full","SemanticClasst",-0.148635633164478,0.24965621744599,-0.595361231877326,0.551602033945254
"fixed_verb_full","LengthOfRecipient",-0.393690471263764,0.0590343453885739,-6.66883775321683,2.57837096720583e-11
"fixed_verb_full","AnimacyOfRecinanimate",-2.35918691176513,0.3143792562311,-7.50427028821167,6.17717300085142e-14
"fixed_verb_full","DefinOfRecindefinite",-0.753714466497027,0.240540361309734,-3.13342202694416,0.00172780817992518
"fixed_verb_full","PronomOfRecpronominal",1.69417431035396,0.273635562388963,6.19135281819017,5.96500212018122e-10
"fixed_verb_full","LengthOfTheme",0.238855407461113,0.0320592435006514,7.45043804468624,9.30308211156665e-14
"fixed_verb_full","AnimacyOfThemeinanimate",1.02649963602925,0.573853544473579,1.78878329830811,0.073649721728406
"fixed_verb_full","DefinOfThemeindefinite",0.845281818254604,0.232834342572832,3.63040009009923,0.000282982229330178
"fixed_verb_full","PronomOfThemepronominal",-2.88319023963345,0.309095820939989,-9.3278201913743,1.08070556605831e-20
"fixed_verb_full","AccessOfRecgiven",1.47381717392036,0.265472451235745,5.55167651882485,2.82942809184824e-08
"fixed_verb_full","AccessOfRecnew",-0.38481272527615,0.291808947261426,-1.31871462094479,0.187264536902111
"fixed_verb_full","AccessOfThemegiven",-1.52122071749049,0.321801398891759,-4.72720355700556,2.27633039567275e-06
"fixed_verb_full","AccessOfThemenew",0.508197488626134,0.227520146233648,2.23363731537096,0.0255069465700475
"nonverb_plus_noise","(Intercept)",-0.462842912351221,0.559960037907057,-0.826564184975007,0.408484124200531
"nonverb_plus_noise","Modalitywritten",-0.445305115292881,0.196208417350968,-2.26955153762003,0.0232348068674759
"nonverb_plus_noise","SemanticClassc",0.671618838847418,0.285746875508387,2.3503978395302,0.0187533548376554
"nonverb_plus_noise","SemanticClassf",-0.0706045245960999,0.466937327789578,-0.151207711172574,0.879811867601464
"nonverb_plus_noise","SemanticClassp",2.5166664016902,0.75377034520259,3.33877077774106,0.000841499716882083
"nonverb_plus_noise","SemanticClasst",-1.50696962315525,0.177193944055832,-8.5046338980999,1.82169534785521e-17
"nonverb_plus_noise","LengthOfRecipient",-0.313882839200666,0.0501766961127101,-6.25555015610439,3.96117007721147e-10
"nonverb_plus_noise","AnimacyOfRecinanimate",-2.32194966401171,0.264158873131039,-8.7899741412808,1.49594395031703e-18
