"repeat_id","fold","family","n","native_log_loss","native_auc","source_auc"
4,6,"nonverb",162,0.2344801941151,0.947716346153846,0.9171875
4,6,"full_core",162,0.222342957537254,0.953125,0.921394230769231
4,7,"marginal",160,0.454505817389874,0.5,0.5
4,7,"verb_only",160,0.436695922990664,0.535505430242272,0.56947925368978
4,7,"nonverb",160,0.249250758551902,0.896268448900028,0.91130604288499
4,7,"full_core",160,0.24851715832223,0.914508493455862,0.879142300194932
4,8,"marginal",160,0.454505817389874,0.5,0.5
4,8,"verb_only",160,0.449133157669477,0.651907546644389,0.67000835421888
4,8,"nonverb",160,0.226747454000094,0.937204121414648,0.90072403230298
4,8,"full_core",160,0.249691239119807,0.933166248955723,0.934001670843776
4,9,"marginal",160,0.550861089910145,0.5,0.5
4,9,"verb_only",160,0.524866371527577,0.589211162381894,0.620193364095803
4,9,"nonverb",160,0.249487049680931,0.936497473082839,0.893649747308284
4,9,"full_core",160,0.238376967748813,0.946934739617666,0.888486047022632
4,10,"marginal",159,0.475009286730828,0.5,0.5
4,10,"verb_only",159,0.447752271938326,0.580901856763926,0.585676392572944
4,10,"nonverb",159,0.188936113419448,0.966710875331565,0.906763925729443
4,10,"full_core",159,0.207323615878751,0.952387267904509,0.890583554376658
5,1,"marginal",165,0.539803377695519,0.5,0.5
5,1,"verb_only",165,0.520156911131571,0.545396959459459,0.595861486486487
5,1,"nonverb",165,0.21941626966108,0.950063344594595,0.919446790540541
5,1,"full_core",165,0.214532626600646,0.957875844594595,0.90698902027027
5,2,"marginal",165,0.44690165166769,0.5,0.5
5,2,"verb_only",165,0.385049004307676,0.737251744498121,0.748523886205046
5,2,"nonverb",165,0.23225065113869,0.930085882984434,0.849302200751476
5,2,"full_core",165,0.214531133641094,0.945517981749866,0.88593666129898
5,3,"marginal",164,0.412618314140779,0.5,0.5
5,3,"verb_only",164,0.362888069945343,0.651711378353377,0.698581560283688
5,3,"nonverb",164,0.152431982581577,0.960992907801418,0.947116867098366
5,3,"full_core",164,0.12956189617297,0.978260869565217,0.940949737897009
5,4,"marginal",163,0.449881356653597,0.5,0.5
5,4,"verb_only",163,0.402459716861113,0.713099128540305,0.713099128540305
5,4,"nonverb",163,0.294380366554913,0.86233660130719,0.851988017429194
5,4,"full_core",163,0.264516389190258,0.903867102396514,0.886437908496732
5,5,"marginal",163,0.496251535498538,0.5,0.5
5,5,"verb_only",163,0.450612439158008,0.66006679389313,0.66006679389313
5,5,"nonverb",163,0.253155753184493,0.931894083969466,0.91805820610687
5,5,"full_core",163,0.232939677506,0.941913167938931,0.923067748091603
5,6,"marginal",162,0.498112756781258,0.5,0.5
5,6,"verb_only",162,0.495257540296681,0.490985576923077,0.515264423076923
5,6,"nonverb",162,0.246705676938948,0.942067307692308,0.904567307692308
5,6,"full_core",162,0.272952456096067,0.929326923076923,0.887980769230769
